time,value
2024-07-24T01:58:41.149018272Z,16
2024-07-24T01:58:41.768198297Z,17
2024-07-24T01:58:43.380214368Z,16
2024-07-24T01:58:48.533667814Z,18
2024-07-24T01:58:48.922203255Z,16
2024-07-24T01:58:50.361229127Z,18
2024-07-24T01:58:50.994800664Z,17
2024-07-24T01:58:52.591289257Z,16
2024-07-24T01:58:53.042373972Z,17
2024-07-24T01:58:54.861095176Z,16
2024-07-24T01:58:55.471083811Z,17
2024-07-24T01:58:56.492999458Z,38
2024-07-24T01:58:57.092363313Z,21
2024-07-24T01:58:58.567890035Z,197
2024-07-24T01:58:59.15983116Z,14
2024-07-24T01:59:00.573375587Z,21
2024-07-24T01:59:01.60096048Z,24
2024-07-24T01:59:02.851047797Z,29
2024-07-24T01:59:03.873490759Z,24
2024-07-24T01:59:05.752836215Z,28
2024-07-24T01:59:06.712277684Z,81
2024-07-24T01:59:07.736104779Z,122
2024-07-24T01:59:09.02221742Z,131
2024-07-24T01:59:09.600309943Z,123
2024-07-24T01:59:10.812258659Z,122
2024-07-24T01:59:12.132207168Z,134
2024-07-24T01:59:12.890480635Z,108
2024-07-24T01:59:14.111024241Z,309
2024-07-24T01:59:16.172274296Z,334
2024-07-24T01:59:16.833553325Z,308
2024-07-24T01:59:19.232519218Z,309
2024-07-24T01:59:20.482233007Z,308
2024-07-24T01:59:21.083674404Z,309
2024-07-24T01:59:22.493275105Z,308
2024-07-24T01:59:27.62159162Z,123
2024-07-24T01:59:28.260041404Z,308
2024-07-24T01:59:31.938218849Z,309
2024-07-24T01:59:34.983156255Z,310
2024-07-24T01:59:35.612347297Z,309
2024-07-24T01:59:39.913320755Z,308
2024-07-24T01:59:39.915123548Z,309
2024-07-24T01:59:42.562598106Z,308
2024-07-24T01:59:44.383999716Z,309
2024-07-24T01:59:45.412116776Z,308
2024-07-24T01:59:46.061340264Z,309
2024-07-24T01:59:47.682780058Z,310
2024-07-24T01:59:48.330167976Z,309
2024-07-24T01:59:51.762450897Z,308
2024-07-24T01:59:55.061319584Z,307
2024-07-24T01:59:56.904081936Z,308
2024-07-24T01:59:59.183130039Z,309
2024-07-24T02:00:04.273485628Z,308
2024-07-24T02:00:04.90141275Z,309
2024-07-24T02:00:06.512349525Z,334
2024-07-24T02:00:07.143318957Z,309
2024-07-24T02:00:08.63301035Z,308
2024-07-24T02:00:11.623192431Z,309
2024-07-24T02:00:12.303313923Z,308
2024-07-24T02:00:13.893056302Z,309
2024-07-24T02:00:14.501042642Z,308
2024-07-24T02:00:18.812892295Z,309
2024-07-24T02:00:22.703135269Z,308
2024-07-24T02:00:27.223077167Z,309
2024-07-24T02:00:28.222877073Z,308
2024-07-24T02:00:44.217950044Z,309
2024-07-24T02:00:44.646859115Z,308
2024-07-24T02:00:47.697761808Z,307
2024-07-24T02:00:49.329215359Z,308
2024-07-24T02:00:59.589305267Z,307
2024-07-24T02:01:01.879028413Z,308
2024-07-24T02:01:04.899315572Z,309
2024-07-24T02:01:05.718169297Z,308
2024-07-24T02:01:10.019188894Z,123
2024-07-24T02:01:11.519250387Z,308
2024-07-24T02:01:26.799340945Z,309
2024-07-24T02:01:27.427267494Z,308
2024-07-24T02:01:32.148300496Z,309
2024-07-24T02:01:33.952455759Z,308
2024-07-24T02:01:34.989126642Z,309
2024-07-24T02:01:36.2394013Z,308
2024-07-24T02:01:39.946754518Z,309
2024-07-24T02:01:39.949668186Z,308
2024-07-24T02:01:47.909278957Z,309
2024-07-24T02:01:48.529223334Z,308
2024-07-24T02:01:54.248198806Z,309
2024-07-24T02:01:54.657291988Z,308
2024-07-24T02:02:05.709986439Z,309
2024-07-24T02:02:06.358436019Z,308
2024-07-24T02:02:07.588142654Z,309
2024-07-24T02:02:08.610078839Z,308
2024-07-24T02:02:11.259259376Z,309
2024-07-24T02:02:12.703112184Z,308
2024-07-24T02:02:22.369165921Z,309
2024-07-24T02:02:23.138363771Z,308
2024-07-24T02:02:25.169182938Z,307
2024-07-24T02:02:26.179439164Z,308
2024-07-24T02:02:33.579799428Z,309
2024-07-24T02:02:34.800219163Z,308
2024-07-24T02:02:35.437270129Z,309
2024-07-24T02:02:39.109215673Z,308
2024-07-24T02:02:40.989684983Z,309
2024-07-24T02:02:42.199514597Z,308
2024-07-24T02:02:44.218164965Z,309
2024-07-24T02:02:44.845200277Z,308
2024-07-24T02:03:01.842322631Z,309
2024-07-24T02:03:01.844254227Z,308
2024-07-24T02:03:02.540809307Z,309
2024-07-24T02:03:06.354450522Z,308
2024-07-24T02:03:11.474165905Z,309
2024-07-24T02:03:12.081201211Z,308
2024-07-24T02:03:17.80355289Z,307
2024-07-24T02:03:19.654700248Z,308
2024-07-24T02:03:41.22082111Z,309
2024-07-24T02:03:41.222612569Z,308
2024-07-24T02:03:43.61828473Z,309
2024-07-24T02:03:44.240764091Z,308
2024-07-24T02:03:50.981973946Z,309
2024-07-24T02:03:53.260906023Z,308
2024-07-24T02:03:56.919113186Z,309
2024-07-24T02:03:56.920345021Z,308
2024-07-24T02:04:01.028916803Z,309
2024-07-24T02:04:01.030304703Z,308
2024-07-24T02:04:05.751167262Z,309
2024-07-24T02:04:06.359663565Z,308
2024-07-24T02:04:11.051048466Z,309
2024-07-24T02:04:11.490978855Z,308
2024-07-24T02:04:23.990768092Z,307
2024-07-24T02:04:23.99220756Z,308
2024-07-24T02:04:28.278312047Z,309
2024-07-24T02:04:28.280023528Z,308
2024-07-24T02:04:38.131175344Z,309
2024-07-24T02:04:40.34118733Z,308
2024-07-24T02:04:45.498190376Z,309
2024-07-24T02:04:46.098158483Z,308
2024-07-24T02:04:48.330119128Z,309
2024-07-24T02:04:50.57192305Z,308
2024-07-24T02:04:51.258027277Z,309
2024-07-24T02:04:59.988287258Z,308
2024-07-24T02:05:06.161561955Z,309
2024-07-24T02:05:06.779333441Z,308
2024-07-24T02:05:12.559807293Z,307
2024-07-24T02:05:13.503316501Z,308
2024-07-24T02:05:17.661275032Z,309
2024-07-24T02:05:18.679385137Z,308
2024-07-24T02:05:21.940852315Z,309
2024-07-24T02:05:22.577186926Z,311
2024-07-24T02:05:24.180816461Z,308
2024-07-24T02:05:26.640148286Z,309
2024-07-24T02:05:34.821575477Z,308
2024-07-24T02:05:46.519050294Z,309
2024-07-24T02:05:50.388138187Z,308
2024-07-24T02:06:14.813917584Z,309
2024-07-24T02:06:14.815719135Z,308
2024-07-24T02:06:19.460981439Z,309
2024-07-24T02:06:20.14000386Z,308
2024-07-24T02:06:24.602116665Z,309
2024-07-24T02:06:27.872360726Z,308
2024-07-24T02:06:32.403234996Z,309
2024-07-24T02:06:32.982221789Z,308
2024-07-24T02:06:33.653203917Z,309
2024-07-24T02:06:34.622102526Z,308
2024-07-24T02:06:41.571751488Z,307
2024-07-24T02:06:42.620008149Z,308
2024-07-24T02:06:46.701955826Z,309
2024-07-24T02:06:47.378203201Z,308
2024-07-24T02:06:50.64188848Z,307
2024-07-24T02:06:53.461718595Z,308
2024-07-24T02:06:55.101815225Z,309
2024-07-24T02:06:55.730210427Z,308
2024-07-24T02:06:56.971126291Z,309
2024-07-24T02:06:57.570129736Z,308
2024-07-24T02:07:01.852257661Z,309
2024-07-24T02:07:03.291748199Z,308
2024-07-24T02:07:10.64203875Z,309
2024-07-24T02:07:11.271858801Z,308
2024-07-24T02:07:14.372470995Z,309
2024-07-24T02:07:15.781732189Z,308
2024-07-24T02:07:24.182161271Z,309
2024-07-24T02:07:24.810775152Z,308
2024-07-24T02:07:26.852055347Z,309
2024-07-24T02:07:28.322247202Z,308
2024-07-24T02:07:32.416834595Z,309
2024-07-24T02:07:35.292251927Z,308
2024-07-24T02:07:40.772227926Z,309
2024-07-24T02:07:42.002359465Z,308
2024-07-24T02:07:42.650077765Z,309
2024-07-24T02:07:45.282015827Z,308
2024-07-24T02:07:45.950160131Z,309
2024-07-24T02:07:48.341166336Z,308
2024-07-24T02:07:55.502804486Z,309
2024-07-24T02:07:59.692441059Z,308
2024-07-24T02:08:15.579067644Z,309
2024-07-24T02:08:16.049252065Z,308
2024-07-24T02:08:22.544345926Z,307
2024-07-24T02:08:25.0091768Z,308
2024-07-24T02:08:42.436819705Z,309
2024-07-24T02:08:43.436903802Z,308
2024-07-24T02:08:58.195864365Z,309
2024-07-24T02:08:59.207308767Z,308
2024-07-24T02:09:03.366988225Z,309
2024-07-24T02:09:05.753946666Z,308
2024-07-24T02:09:09.656973046Z,309
2024-07-24T02:09:10.656851933Z,308
2024-07-24T02:09:12.917178039Z,309
2024-07-24T02:09:14.766878139Z,308
2024-07-24T02:09:20.137030167Z,309
2024-07-24T02:09:21.116951755Z,308
2024-07-24T02:09:23.156954073Z,309
2024-07-24T02:09:24.227112916Z,308
2024-07-24T02:09:26.277130497Z,309
2024-07-24T02:09:28.708916305Z,308
2024-07-24T02:09:32.617061885Z,309
2024-07-24T02:09:33.606993773Z,308
2024-07-24T02:09:42.047333526Z,309
2024-07-24T02:09:43.056854682Z,308
2024-07-24T02:09:51.516845996Z,309
2024-07-24T02:09:52.476825344Z,308
2024-07-24T02:09:59.82390304Z,309
2024-07-24T02:10:00.946847267Z,308
2024-07-24T02:10:05.977806361Z,309
2024-07-24T02:10:07.236919391Z,308
2024-07-24T02:10:08.017211142Z,307
2024-07-24T02:10:11.307070998Z,308
2024-07-24T02:10:17.626885806Z,307
2024-07-24T02:10:18.467053996Z,308
2024-07-24T02:10:24.797251893Z,309
2024-07-24T02:10:25.886760348Z,308
2024-07-24T02:10:43.645969382Z,309
2024-07-24T02:10:44.668916694Z,308
2024-07-24T02:11:02.506202887Z,309
2024-07-24T02:11:03.639044322Z,308
2024-07-24T02:11:06.608977862Z,309
2024-07-24T02:11:07.60632194Z,308
2024-07-24T02:11:09.856223712Z,309
2024-07-24T02:11:12.129229097Z,308
